Actual Beta,Actual Beta Forecast,Actual Final Size,Beta Hat Node Infections,Beta Hat Node Infections Forecast,Beta Hat Infection num sus nbrs,Beta Hat Infection num sus nbrs Forecast,Beta Hat Infection num inf nbrs,Beta Hat Infection num inf nbrs Forecast
1.5084906622048122,9485.685900280614,7816,1.586473823589326,9500.483579844886,1.5266430545083154,9489.411373002838,1.3383742013912279,9439.796897579541
5.6725352667273015,9580.48343585671,8934,6.086807928913189,9580.61985493096,10.397156202174255,9580.965369925701,7.935247631151957,9580.882453471748
2.755678405816483,9570.532335472702,8424,2.8167170191339377,9571.375703241567,4.4251041129222894,9579.411199429567,3.5731366688999806,9577.213371449441
1.2264280709285336,9390.766799496896,7358,1.1431467331981913,9343.916963361475,1.6480350338280862,9508.439555964143,1.1617060518389914,9355.502571314728
4.094846527130722,9578.887838706913,8705,4.135367016205911,9578.971805373245,3.474730216247442,9576.88222402366,2.7899095670231873,9571.226885125767
2.56883191760938,9566.882591175878,8322,2.4884557721139435,9565.106168334733,2.9025437784651893,9572.102474874995,2.347797666790069,9561.291042706032
3.4383923531167815,9576.665713311324,8626,3.5024469820554645,9576.974278184614,5.024802604746939,9580.088679030801,4.110823562206707,9578.89808825258
7.535161216703984,9580.85327280353,9150,7.506995884773663,9580.850796318757,7.597207287295845,9580.858555932697,6.371896247455229,9580.691339152136
5.831994843722219,9697.497790802527,9066,5.600123992560447,9697.401934608595,9.307627957268771,9697.936262431278,8.19871803977244,9697.887480655781
2.5115703100505273,9681.96226887217,8534,2.6577958672510955,9685.027773362106,4.127682048136763,9695.680437931229,3.3125172498174096,9692.433487553733
6.436408902372289,9697.66920474619,9166,6.912320483749055,9697.757735240151,6.0369135627351005,9697.563243418876,4.131092734457844,9695.832200927818
1.6926671755299738,9629.229320564507,7998,1.6873675286138192,9628.494365417382,1.816929250404924,9644.01048866221,1.470914133569063,9588.059029889628
4.958100766290784,9696.985086123623,9074,5.081506464305792,9697.085242435816,7.846721667120289,9697.860981453905,6.44370635727963,9697.66997452606
6.7836080385483495,9697.744826197335,9239,6.607476635514022,9697.71350523929,11.911257323587112,9697.97988113136,9.443305893574404,9697.941913136738
6.793504380731895,9697.744344107161,9203,7.036015325670498,9697.78095210336,7.29035297548849,9697.812777567997,5.85787631639753,9697.511904027508
3.9772164385837874,9695.397148104677,8813,3.8746690203000878,9695.10648974819,5.168180631617694,9697.118638721848,3.937094652024172,9695.287836604975
3.9853571926936393,9643.399339655887,8887,4.459909228441753,9644.359878084517,3.533282497573032,9641.776721335473,3.3081721814738594,9640.516276928698
6.1156745091123454,9645.574681160348,9107,6.436170212765958,9645.658920105798,8.975819747725511,9645.9209607672,8.20480437055949,9645.882249312981
9.964696954060752,9645.95442767077,9295,10.311457174638488,9645.96102739371,9.370948724704197,9645.939701642996,7.411313275024129,9645.826564608498
5.459807242309219,9645.313076875147,8980,5.990610328638495,9645.538455496362,10.628566893770065,9645.963383417607,8.943390633478314,9645.920567452255
4.334465306439355,9644.179638952772,8809,4.301571709233792,9644.121501454934,6.759123538252088,9645.724250615984,5.49474136954277,9645.327115314087
7.946346020592284,9645.86656204558,9203,7.707563025210083,9645.847269929833,12.497864208549913,9645.982588217412,9.793930565237135,9645.947535937394
6.819164104316123,9645.733195391358,9072,6.388535031847133,9645.645947742116,10.619901662642443,9645.962421393428,8.943075202454272,9645.919066330573
5.4434627345795485,9645.305745921698,9014,5.262295081967212,9645.19819831696,5.272703368039011,9645.204898237276,4.156790291326419,9643.851073999256
7.7156553050256305,9645.844072042073,9178,7.820359281437127,9645.853042248998,10.288667259312675,9645.95650266497,8.961062042596781,9645.919487249106
7.95089511375174,9600.856041824814,9156,8.768491834774258,9600.906763086767,10.582560506301101,9600.959884442073,8.211510429768197,9600.875192025662
3.8266290900671693,9597.670494648433,8834,4.1644612476370515,9598.631033854817,5.083312008854389,9599.954466691075,4.1978908114726,9598.706516512437
7.118302905596364,9600.762420652445,9132,6.83471074380165,9600.716449430616,9.803996349195387,9600.942241436433,8.069027542068362,9600.86287203347
7.259874247744693,9600.775455685596,9153,7.230586370839936,9600.771486626094,7.789066292385036,9600.834633605948,6.56812712728024,9600.654063760767
1.5258401173841873,9496.563227973622,7696,1.544354838709677,9500.61929584055,2.3363434230940974,9576.689881763188,1.872302424976167,9548.373366466101
5.245570746478416,9623.299333075829,8983,5.039481105470952,9623.167508648527,7.969608458852549,9623.889469277769,6.611442224641719,9623.74527198268
4.644326429100284,9622.787545115712,8925,4.386778490379872,9622.459750868753,6.2192838940759545,9623.653306918959,5.1289177376673765,9623.203866062762
3.980863898895394,9621.649218533166,8863,3.945487042001787,9621.561737346545,6.348262057417534,9623.672127660673,5.3590242428365285,9623.321378393679
3.7715757534889685,9620.984271810083,8764,3.8752774079005756,9621.297118189364,5.046492467453275,9623.08863676174,4.287081479544828,9622.208803842897
1.0313548713801668,9301.48460338898,7211,1.0468818460639697,9315.794461128075,1.5311473698668974,9532.053073858491,1.2530520910837815,9447.755942675518
5.1722160998480415,9623.239847515824,8976,5.1234213547646394,9623.208386315253,9.599230083867887,9623.95050586901,7.066693113688541,9623.804859706983
2.847415438830038,9614.904138215677,8615,3.079626972740315,9617.290724961182,3.9020964910626335,9621.387175195554,3.3534796815462773,9619.20223134782
2.7660228236207676,9613.7902369607,8516,2.83322192513369,9614.688944588492,4.063372437329432,9621.770159853277,3.3226655087943144,9618.998782567647
2.277373892166067,9603.79736058806,8342,2.3923941227312016,9607.489869527113,3.506400524037461,9621.738559664525,2.6636219940776695,9613.623309700177
