Actual Beta,Actual Beta Forecast,Actual Final Size,Beta Hat Node Infections,Beta Hat Node Infections Forecast,Beta Hat Infection num sus nbrs,Beta Hat Infection num sus nbrs Forecast,Beta Hat Infection num inf nbrs,Beta Hat Infection num inf nbrs Forecast
9.447627274699569,9910.918731036429,9865,9.103799814643189,9910.904232863544,9.871567702827964,9910.93312573319,8.331057441093074,9910.858435500699
6.332252028531,9910.497778097779,9828,6.308188265635073,9910.489705733731,7.077546028548876,9910.685602985728,5.708179252636806,9910.226070691344
9.704064641846973,9910.926713966366,9862,9.733862959285,9910.927701915316,11.322280429670508,9910.963094492792,8.808676555644016,9910.887674784766
1.8934018608031833,9854.599105488634,9482,1.8358266951622304,9848.360708891074,2.0603752599260865,9868.80913213477,1.5102758995814467,9791.20013245746
3.076714434123875,9901.593920519668,9749,3.1747382198952883,9902.64533597246,3.7226330174839517,9906.462914953894,2.851478670632991,9898.494002137531
6.585975510705818,9910.582560644758,9854,7.214863870493007,9910.71650525723,6.074315814743262,9910.41327989572,4.790063787089443,9909.432183320798
3.6631324641754426,9906.189238657444,9747,3.60304493130338,9905.871204840247,3.662414984157983,9906.18558563498,2.8266004386132813,9898.116622896701
7.125901955469503,9910.70276008753,9855,6.82152777777778,9910.642122123001,7.836654547815541,9910.80208581504,6.346892220911457,9910.514446526213
2.149907117997576,9874.758562937166,9595,2.1676117033340896,9875.782969315225,1.9957282391125446,9864.081555754306,1.5831468412086613,9808.620056710733
1.2532741542588377,9689.695491871193,9237,1.3045267489711934,9715.71425995464,1.3913023173924095,9751.629798034623,1.1237057127811068,9601.640789905372
1.980307051656549,9878.09074654355,9591,1.9749793217535154,9877.68666600447,1.519152769675643,9815.603630205082,1.459999991196907,9800.922109377627
6.987695533763808,9920.74452609886,9858,7.192673992673992,9920.77479717948,7.432660051523222,9920.804914414464,5.890085817422665,9920.465509802061
7.731668997785574,9920.836921886528,9859,7.533026113671276,9920.817149823579,8.248746071221621,9920.877446879049,6.296948413531599,9920.600832809392
9.216421569107084,9920.926507764007,9886,8.729370008873111,9920.906319725726,10.51432675940964,9920.959367670232,8.371779324904182,9920.887133784443
4.347822816186647,9919.015759527392,9814,4.450364298724954,9919.196000101489,4.874690258735241,9919.759892093027,3.902153063748956,9917.925746852921
6.735675185363549,9920.69225671751,9858,6.7743271221532115,9920.69975952154,6.328514607437358,9920.597625322665,5.353070292208022,9920.180353243766
1.7246674092852798,9851.574184291698,9468,1.6333564253550397,9837.649585339921,1.8433810809404985,9865.641465165792,1.4323908646091292,9792.516193799374
0.9457946263447747,9439.937341342415,8865,0.9735420571050601,9479.015913574814,0.9412030304249355,9433.056968638879,0.7505458390748432,8994.404657084478
3.7522177423301297,9917.309243540523,9777,3.4853256979241234,9916.06297454736,4.071888650060217,9918.336006133499,3.193709825134181,9914.061664007795
6.7312213141972235,9920.705718133891,9866,6.808038808038809,9920.719945139535,10.674712547847111,9920.962218991486,8.24489017849707,9920.879605615186
9.70189078976738,9925.941498681583,9889,10.288702928870299,9925.955134482525,12.162391718392065,9925.97904310688,9.552621797662411,9925.937263632864
2.734876011585381,9912.912753392557,9717,2.6873090808108864,9912.029324560925,2.5765507505976495,9909.672508904476,2.1709370005323136,9895.57697098724
3.679577036281474,9921.995868757456,9805,3.9055999999999997,9922.841306563963,4.295138695707398,9923.84508377469,3.5438842910643937,9921.355259425805
4.235363202959328,9923.67651146594,9806,4.135284139100934,9923.442464563315,4.666742181877822,9924.43040826834,3.837841080357506,9922.555889735291
0.639782814263129,8444.035833546568,7859,0.6427809242386933,8461.98011220973,0.6398063764373857,8444.177931128785,0.4816865625437052,6950.085146633159
9.994670859512274,9925.948846877487,9884,11.007829977628639,9925.966978973716,10.764288616056112,9925.9634460619,9.016998448212833,9925.918681760999
0.5642159105374067,7828.441890174172,7358,0.5510863844823697,7702.295712020655,0.5594029153988633,7783.252867158006,0.44232366026159076,6217.823768235624
1.6876353706691438,9850.408091738598,9537,1.6952957947255878,9851.550189757389,1.4290394837916773,9795.07004335352,1.0978225386088716,9625.534884439137
8.531945988284642,9925.893675503941,9871,9.500484027105514,9925.934194444715,10.732847008858288,9925.961969878095,9.005826295470875,9925.916423957424
3.390738323943655,9919.944160353702,9754,3.2914691943127967,9919.209567432585,3.8679360665910614,9922.376262001055,3.1754264565496477,9918.207945883172
8.679331741738572,9925.889225345067,9867,7.9683698296837,9925.838768835958,10.587699274669479,9925.954128663465,7.941974808355907,9925.836410658003
6.894519145557286,9925.688364143945,9847,6.656929347826087,9925.637882580837,7.873322012200909,9925.824201983905,6.339996091998884,9925.554152867082
5.562290492337816,9925.21181188274,9841,5.452367688022282,9925.14336931777,5.8091807285940105,9925.342838395683,4.583867184722906,9924.247704983607
5.700513231223883,9925.291770645206,9846,5.468749999999999,9925.157494123005,6.636822543340241,9925.627502903013,5.310921375329575,9925.048168001294
6.2068738647844155,9925.503902395725,9842,6.274183215887255,9925.526022466967,7.851815088751231,9925.818246582634,6.2582243371200725,9925.520887949577
6.566131087986066,9925.616004872758,9871,6.577747989276139,9925.618891611042,10.057879340998447,9925.939732504563,7.281183000870193,9925.753518609636
1.2773657528369786,9725.598372285596,9231,1.27625,9725.049189895235,1.155558166709459,9652.652744861789,1.0029540734413758,9507.18068366573
1.4477525584857986,9792.591030041496,9323,1.4632457106878642,9797.100104260535,1.313222110270169,9743.848096576077,1.1117644750395332,9620.69571395736
2.513364682888193,9907.058976458686,9674,2.541930379746835,9907.826833118017,2.9503790866614006,9915.549961908308,2.1924146766463215,9894.972842681502
