Sample,N,I,S,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.075,9942,746,8757,6494,1992,244,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8328,5665,2211,389,56,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,7872,4837,2375,550,99,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,7411,4141,2432,700,118,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9942,99,9827,9419,401,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9665,8753,860,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9370,7628,1566,163,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,9094,6719,2035,305,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8808,5956,2339,447,56,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,8522,5210,2580,626,87,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,8244,4557,2720,800,141,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9942,2486,7036,2730,2587,1249,352,106,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9942,99,9812,9453,352,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9598,8701,856,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9237,7576,1509,142,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,8894,6614,1975,270,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8545,5786,2226,465,63,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,8148,5056,2380,587,113,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,7763,4377,2516,687,160,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9942,2486,5943,2362,2229,980,275,82,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9941,99,9757,9371,376,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9941,249,9463,8520,895,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9941,497,8936,7307,1482,136,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9941,746,8328,6220,1815,268,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9941,994,7747,5232,2086,379,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9941,1243,6760,4225,2024,420,84,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9941,99,9824,9427,391,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9941,249,9646,8685,917,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9941,497,9357,7679,1503,168,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9941,746,9070,6757,1957,326,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9941,994,8771,5882,2328,496,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9941,1243,8454,5152,2517,658,107,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9941,1491,8145,4521,2654,791,161,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9941,2485,6830,2647,2554,1184,348,77,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9941,99,9834,9385,445,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9941,249,9666,8688,933,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9941,497,9387,7635,1571,172,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9941,746,9102,6676,2059,341,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9941,994,8834,5891,2338,538,62,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9941,1243,8559,5182,2570,670,120,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9941,1491,8285,4550,2723,823,162,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9941,2485,7125,2724,2587,1280,426,92,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9941,99,9793,9411,374,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9941,249,9570,8656,863,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9941,497,9165,7511,1506,140,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9941,746,8767,6566,1891,280,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9941,994,8363,5662,2183,455,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9941,1243,7938,4878,2343,606,98,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9941,1491,7504,4173,2455,723,131,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9941,2485,5240,2113,1899,913,243,58,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9941,99,9808,9420,380,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
