Actual Beta,Method 1 Beta,Method 2 Beta
3.3991892149775524,3.6411162659911094,2.8882438436399855
2.6213827034893233,2.8081168714562503,2.354511387488334
1.8891260781479948,1.8577825870993125,1.5911160594065734
2.508051265398867,2.7809918035799837,2.106506900541756
1.18165009337247,1.2246474019348828,0.991803326965962
4.294908793935023,4.562149510928428,3.7988234843853115
3.373209443185581,3.9206736085901426,3.146218346825096
2.3880555388622007,2.3848330767203536,1.9276404876241515
0.9019856308295343,0.9057270962984592,0.7121203630617662
3.696788917215093,3.5697945346960673,2.4205187701378947
3.0382638473593486,3.0979734997519524,2.498317179090383
3.18793732045977,3.7413729668789553,3.0337109160739404
3.7298173240208734,4.282673177648865,3.424573400349885
1.8129175269527182,1.6965533043188517,1.370191649911856
4.03458734296194,4.442001808994098,3.396359964041813
2.6562295215645237,2.508418572392232,2.031210325381106
4.338893495203872,4.045176964452998,3.1579727865462432
1.8249677368618873,2.0040352875736973,1.561913581196919
4.340280115940937,4.636071637576647,3.9045393994263824
4.509692684223082,5.011206515575595,4.233236942442783
3.9263364086497314,2.9723112673444523,2.8663557595288127
1.620931982000545,1.3184292831121254,1.0635913838620417
4.3268658066952534,4.805878574646873,4.03196182196599
2.967233257269458,2.93404955154804,2.388185529585137
1.3189161903727018,1.2199355651399388,1.0007581764093763
4.450728142844758,5.327034338580492,4.381341065611324
2.9342115341784,2.971914330950743,2.3934031684345665
4.368625060664391,4.87434424162245,3.8770010945181683
0.8875430195743481,0.9426005104112211,0.7535886086688517
2.755307578233215,2.674139342284063,2.384726834059324
4.077124756078016,4.15845799775126,3.555919769339747
3.78550036472707,3.898964919219433,3.1651669600192442
1.2721618856208656,1.4089857817156972,1.0706604161816535
3.1515211625381743,3.13555552798804,2.603673160791223
4.06154234033733,4.228057687702522,3.438914466159676
4.3988636690206695,3.5272499821942587,2.4028758933928396
3.3159312070438283,3.714994310477141,3.0034298132590944
0.35555959300332624,0.352119991873808,0.24758657290654368
1.174899583039351,1.1057840571040427,0.6254696331188182
1.5410648685916226,1.5426803149281325,1.22715713265072
1.624484655627239,1.6603296798203346,1.3797837533742452
0.9225600149995372,0.9774512945829633,0.7657868702295879
0.41720022263776946,0.3587287056319963,0.351595858761416
2.413138871515038,2.6038443081241716,2.090792006228037
0.9815730634208455,0.9887812073241325,0.7878371111537373
0.38261813583840143,0.39762528101465855,0.29110528969994914
1.5097965767840391,1.522616918312565,1.231298888836998
4.461502070988881,4.708211996478713,3.8935387902838126
1.2377679712493248,1.1963347265901298,0.9494832336797085
2.1254251548677883,1.6951519724895858,1.5044147447303555
2.4387237928905376,2.5238941325032136,1.7501570582842174
4.288521030244922,4.9021650262530585,3.919944536639217
4.1090147362742115,4.678269697982394,3.9470586279035307
2.5846935704171345,2.343851994606516,2.036133019391604
4.039128541829184,4.2692096083612245,3.420504714118231
2.8739596270066543,3.181099384393832,2.579675134666568
2.745599133871662,3.0205454156025517,2.431478730207743
4.709207930455957,5.243053630930067,4.038291710221758
1.207285007756952,1.3221813361477386,1.0850696101497552
3.1853904701818783,3.4538674494280186,2.9371572962508385
2.8503303259542854,2.5377167690415705,1.9841076439710978
4.024875048581711,4.066593062384302,3.239251848711514
3.6305490074130353,4.097785214774851,2.8737828532035152
2.5166292724245305,2.6221343970930815,2.114615299870199
2.8500589205107802,3.0093836775376825,2.4455580002677006
2.2172341983740336,2.419880605998637,1.9530706549703847
4.32896817110169,5.336995616328402,4.399382962406557
4.249319325582398,4.754388457607309,3.6354845100855955
3.5238648843375113,3.819876150684512,3.0592744139601558
2.9727430469274974,3.342130332918848,2.637415914831762
0.34102370606398597,0.30392843037448963,0.29214354914487667
4.214503854439069,4.559491397834647,3.735963050678908
3.79273311090152,4.645677695783506,3.7012101505172317
0.2865780974698634,0.29471432153381805,0.21523207986124412
2.2987532299689994,2.1978172250930013,1.8059042460224455
2.592304410513784,2.605854121613734,2.13515817500929
1.384414433474337,1.273933382435121,1.0237912671017952
2.4341710901397917,2.1466347323166586,1.7342539103112375
4.674214808389687,5.538592642898415,4.455446879505193
2.3755594032847487,2.5423117949988843,2.0672064867873226
3.7542645216722965,4.128225612261292,3.387495363072466
1.1057547317210161,1.1719782740222684,0.9632732409312336
1.3755105113769366,1.5281602404527321,1.2299840523631091
0.760217993307567,0.7372685300061758,0.6402675211116461
4.722891749320872,5.227598187234058,4.236424360432617
2.7024249002062586,2.9066273850424134,2.330576856248742
2.503075995183387,2.768047308409136,2.170595877666682
1.9501607324122108,1.870406495010077,1.4581141939107536
3.7523420803065424,4.1046357493810275,3.3092554413882382
0.4803174762239879,0.4423484893360281,0.36041263693111053
3.9170076712638036,4.154954318478429,3.310745685776699
3.6372090839914057,3.8956262678489395,3.115095524448438
0.7624756732269977,0.7188839687330661,0.4814237911966574
2.8902742918828626,2.8822681697540347,2.4676414961622943
0.6835025829484294,0.6424159919464115,0.5429849600909429
4.540633379307591,4.416170709988539,3.5002117387674727
2.930490507034706,2.772838937551471,2.2544905929629593
1.6047445142523498,1.4684947955865943,1.1274885545380928
2.8983570566390817,3.1170686800753877,2.9597768032042437
1.788342214623664,1.706866799969732,1.4892724345392583
